# Chromatin Architecture Emerges during Zygotic Genome Activation Independent of Transcription
# Clemens B Hug, Alexis G Grimaldi, Kai Kruse, Juan M Vaquerizas
# http://dx.doi.org/10.1016/j.cell.2017.03.024
#
# List of consensus boundary calls for Drosophila melanogaster embryos at nuclear cycle 12, 13, 14 and at 3-4hpf
# NA denotes boundaries not called or called with a score <0.5 at this stage
#
chrom	start	end	c12	c13	c14	3-4h
3L	5350000	5360000	NA	0.619123416793	0.957194668315	1.08963227974
3L	5575000	5585000	0.660554007089	0.87509184572	1.51822341711	1.71427013465
3L	5785000	5795000	0.717466063157	1.01809810414	1.66925379213	2.12265241009
3L	6170000	6180000	NA	0.678474035918	0.976976819982	1.14001748279
3L	6510000	6520000	0.5792873749	0.90375738244	1.6681936102	1.76076119403
3L	6735000	6745000	0.789634861465	1.53212750789	2.43122637681	3.39697954713
3L	6960000	6970000	0.789380347233	1.43972041949	2.33581179496	3.11068487947
3L	7135000	7145000	NA	NA	1.12372438504	0.842495587444
3L	7340000	7350000	NA	0.897572651521	1.56842336421	2.27250183317
3L	7500000	7510000	NA	NA	0.559589368761	0.688805358774
3L	7710000	7720000	NA	NA	NA	0.626552448522
3L	7890000	7900000	NA	0.855058910307	1.58350932005	1.66657680487
3L	8170000	8180000	NA	NA	0.57527420025	NA
3L	8315000	8325000	NA	NA	0.58284376088	0.702912010675
3L	8435000	8445000	NA	NA	0.57166386165	1.0845428728
3L	8650000	8660000	0.72530549478	0.926405297869	1.17389628852	0.875390738019
3L	9005000	9015000	0.632729723682	0.931034308329	1.23526191943	1.55389212818
3L	9360000	9370000	NA	NA	1.33230527859	NA
3L	9460000	9470000	0.810143599388	1.38918844845	2.07519055699	2.18953487608
3L	9720000	9730000	NA	NA	NA	0.65617387578
3L	9840000	9850000	NA	0.581395724643	0.962499207095	1.28671598839
3L	10210000	10220000	NA	NA	1.03018283389	2.06650264522
3L	10350000	10360000	NA	NA	NA	0.523635891628
3L	10460000	10470000	NA	NA	NA	0.859239078111
3L	10660000	10670000	NA	1.27266555962	2.65333904101	3.50774113042
3L	10865000	10875000	0.530614967231	0.822157558557	2.01958744439	2.90731876313
3L	11060000	11070000	0.726282128367	1.17569077151	1.53720116833	2.75996908982
3L	11200000	11210000	0.582344845126	0.87996300882	1.28286924094	2.08533129587
3L	11530000	11540000	NA	NA	NA	1.56308785929
3L	11670000	11680000	NA	0.654757759652	0.551663436669	NA
3L	11810000	11820000	NA	NA	0.912361244763	1.09777247884
3L	12120000	12130000	NA	0.668030678275	1.32749592362	1.87922304163
3L	12410000	12420000	NA	NA	0.677835571152	NA
3L	12505000	12515000	NA	NA	0.955257331514	1.87963387094
3L	12790000	12800000	0.594247527223	1.06663305032	1.81408271052	2.26567634726
3L	13020000	13030000	0.995422263556	1.79924782419	2.9043954081	3.94971167167
3L	13390000	13400000	NA	0.616497569719	0.980968287365	0.91129001484
